truck_number_plate,vehicle_model,year_bought,service_date,last_service_date,total_km_run,km_after_last_service,avg_daily_km_est,engine_temperature_c,vibrations_level,oil_life_percent,battery_health_percent,route_type,load_profile,ambient_temp_c,brake_pad_thickness_mm,tyre_health_percent,fuel_efficiency_kmpl,approx_past_services,parts_changed_last_service,days_until_next_service
MH39AB5213,Mahindra Blazo X,2010,2022-06-19,2021-05-15,794199,26053,160,88,3.71,51,74,City,Medium,28,12,65,2.99,13,Air Filter,93
MH83AB1268,Tata Prima,2020,2024-04-01,2021-04-25,864038,39465,387,105,3.71,44,67,City,Heavy,12,13,30,4.39,5,Brake Pads,101
MH29AB5782,Tata Prima,2016,2022-05-04,2021-08-13,491048,38718,172,129,3.71,11,48,Mixed,Heavy,36,16,64,5.01,19,Coolant,21
MH82AB4283,Eicher Pro 6035,2017,2022-02-06,2021-08-07,602439,25859,242,109,3.71,50,46,Highway,Medium,4,13,67,5.89,3,Oil Filter,117
MH26AB4425,Eicher Pro 6035,2021,2022-04-09,2021-08-13,323452,25316,496,114,3.71,27,37,Highway,Medium,32,10,73,3.42,18,Fuel Pump,101
MH13AB1515,Ashok Leyland 3718,2023,2023-11-05,2021-11-07,290853,8878,148,73,3.71,87,79,City,Heavy,38,2,95,5.77,6,None,93
MH12AB9038,Mahindra Blazo X,2012,2024-11-20,2021-03-10,828883,2381,340,78,3.71,50,93,Highway,Light,11,4,55,3.44,6,Air Filter,101
MH21AB9495,Mahindra Blazo X,2013,2022-08-08,2021-11-18,226743,14175,208,110,3.71,90,88,City,Medium,7,13,93,5.21,5,Brake Pads,59
MH12AB7158,Eicher Pro 6035,2019,2023-11-13,2021-03-25,140306,5086,461,91,3.71,17,93,City,Medium,42,14,31,4.22,1,None,13
MH13AB8757,Mahindra Blazo X,2015,2022-12-22,2021-06-25,799468,25506,152,87,3.71,25,40,Highway,Light,36,7,69,2.96,8,Fuel Pump,95
MH83AB3385,Mahindra Blazo X,2019,2022-05-05,2021-07-20,576492,23331,434,81,3.71,5,43,Highway,Heavy,21,11,20,5.36,1,Brake Pads,93
MH44AB1488,Tata Prima,2016,2023-02-20,2021-03-14,142769,35613,330,111,3.71,23,22,Highway,Medium,-4,11,56,3.37,6,Air Filter,72
MH50AB7392,Eicher Pro 6035,2022,2022-01-10,2021-11-24,137265,16959,92,112,3.71,64,81,Mixed,Heavy,28,17,40,3.21,14,None,77
MH32AB9131,BharatBenz 2823R,2023,2023-08-18,2021-06-07,867563,32943,133,108,3.71,37,21,City,Heavy,25,2,86,3.93,11,Coolant,114
MH93AB1649,Eicher Pro 6035,2013,2024-03-25,2021-11-11,102428,31095,240,78,3.71,8,85,Highway,Heavy,17,17,27,5.11,2,Oil Filter,83
MH43AB6008,BharatBenz 2823R,2017,2024-07-29,2021-07-30,608158,6377,100,75,3.71,7,61,Mixed,Light,1,5,31,3.44,4,Air Filter,20
MH74AB1772,Tata Prima,2014,2024-05-15,2021-03-13,677835,5422,435,88,3.71,95,53,Highway,Heavy,32,7,65,3.23,13,Fuel Pump,20
MH71AB2941,Ashok Leyland 3718,2010,2023-08-24,2021-04-11,810278,5186,259,117,3.71,56,61,City,Heavy,27,3,26,2.54,7,Coolant,17
MH39AB9398,Mahindra Blazo X,2013,2024-03-24,2021-12-18,99067,33266,175,116,3.71,32,39,Mixed,Medium,6,19,47,4.39,6,None,82
MH71AB5587,Tata Prima,2012,2022-02-18,2021-08-04,812371,14907,497,76,3.71,74,87,City,Medium,39,11,34,4.21,3,Brake Pads,90
MH85AB7169,Mahindra Blazo X,2018,2024-09-19,2021-09-11,162217,32506,118,85,3.71,74,64,Highway,Light,6,5,41,3.44,9,Coolant,89
MH94AB9058,Ashok Leyland 3718,2017,2024-11-27,2021-12-20,468184,31922,314,74,3.71,59,94,Highway,Light,13,2,24,2.71,14,Coolant,77
MH97AB4508,Ashok Leyland 3718,2010,2024-02-07,2021-03-08,673222,12705,307,85,3.71,61,61,Highway,Medium,3,16,22,4.22,11,Fuel Pump,67
MH39AB1560,Tata Prima,2020,2023-07-16,2021-05-03,192980,21554,467,70,3.71,91,66,Mixed,Medium,4,11,67,5.65,5,Oil Filter,45
MH88AB4921,Ashok Leyland 3718,2015,2023-09-13,2021-05-11,552367,24027,237,120,3.71,20,24,Mixed,Light,11,19,99,5.36,14,Coolant,57
MH86AB2671,BharatBenz 2823R,2018,2023-11-11,2021-12-16,386851,18943,279,106,3.71,28,68,Mixed,Heavy,44,17,59,5.94,19,Coolant,72
MH71AB3864,Ashok Leyland 3718,2016,2023-03-11,2021-03-07,259329,17024,238,108,3.71,73,56,Mixed,Light,34,14,20,2.54,8,Oil Filter,78
MH21AB4852,Mahindra Blazo X,2013,2024-09-20,2021-11-17,307354,28702,464,88,3.71,45,53,Highway,Heavy,33,16,22,6.37,7,Oil Filter,103
MH68AB3138,Mahindra Blazo X,2022,2024-12-25,2021-10-25,573406,516,59,123,3.71,81,92,Highway,Medium,35,3,59,3.87,7,Brake Pads,13
MH13AB3043,Mahindra Blazo X,2010,2024-12-02,2021-08-13,111215,17348,163,106,3.71,51,89,Highway,Medium,4,5,47,6.46,3,None,55
MH49AB4616,Mahindra Blazo X,2021,2023-07-24,2021-11-02,761195,21355,125,86,3.71,80,37,Mixed,Medium,6,2,10,3.51,3,Brake Pads,52
MH40AB3106,BharatBenz 2823R,2011,2023-10-23,2021-08-04,361573,18711,213,95,3.71,73,97,Mixed,Heavy,9,8,48,4.39,18,Oil Filter,84
MH81AB4127,Eicher Pro 6035,2021,2023-08-05,2021-06-19,682336,25595,134,91,3.71,35,38,Highway,Light,25,12,36,3.92,13,Air Filter,53
MH15AB1704,Tata Prima,2014,2024-09-13,2021-04-01,219530,39224,98,77,3.71,96,97,Highway,Heavy,9,11,45,3.92,1,Oil Filter,22
MH64AB9643,Mahindra Blazo X,2021,2022-07-09,2021-07-10,227241,38083,375,102,3.71,96,59,Mixed,Light,22,2,41,5.87,5,Brake Pads,14
MH40AB4325,Ashok Leyland 3718,2020,2022-12-05,2021-08-16,188731,3343,226,71,3.71,34,36,City,Light,-2,12,50,5.49,4,Fuel Pump,89
MH63AB7987,Mahindra Blazo X,2014,2023-04-07,2021-06-27,503830,29801,436,99,3.71,22,79,Highway,Light,30,11,24,6.47,16,Fuel Pump,119
MH22AB1167,Ashok Leyland 3718,2017,2023-10-24,2021-08-24,814265,26960,438,116,3.71,48,61,Highway,Medium,-5,15,40,4.95,15,None,58
MH50AB7956,Ashok Leyland 3718,2015,2022-03-21,2021-03-17,389384,32418,267,89,3.71,31,91,Highway,Light,38,15,15,4.35,18,Coolant,83
MH47AB4627,Mahindra Blazo X,2017,2022-03-09,2021-06-16,476009,29247,238,129,3.71,30,84,Mixed,Medium,28,8,98,2.86,17,Fuel Pump,19
MH13AB6098,BharatBenz 2823R,2011,2022-08-16,2021-05-31,163688,16472,395,87,3.71,64,72,Highway,Light,41,12,61,6.49,14,Brake Pads,15
MH65AB5458,Ashok Leyland 3718,2012,2022-07-03,2021-04-18,358617,28810,279,112,3.71,22,26,Highway,Light,11,5,91,4.71,14,Fuel Pump,44
MH30AB6038,Ashok Leyland 3718,2015,2024-10-03,2021-06-10,794748,23427,304,126,3.71,93,24,Highway,Medium,33,3,31,5.3,19,Air Filter,116
MH57AB1581,Mahindra Blazo X,2021,2023-09-17,2021-07-26,540834,1594,285,79,3.71,60,43,Highway,Medium,32,8,40,4.13,6,Oil Filter,110
MH35AB5831,Ashok Leyland 3718,2022,2022-05-06,2021-11-23,430596,39392,75,93,3.71,35,47,Highway,Heavy,38,15,82,4.69,13,Oil Filter,109
MH87AB4406,Ashok Leyland 3718,2019,2022-12-08,2021-03-18,761111,34672,121,125,3.71,63,81,City,Light,27,8,55,6.27,18,Brake Pads,51
MH20AB1294,Mahindra Blazo X,2012,2024-12-23,2021-04-13,784275,23824,310,73,3.71,6,36,City,Medium,15,13,76,3.17,15,Coolant,105
MH60AB2522,Mahindra Blazo X,2015,2022-01-16,2021-09-21,319150,21174,303,106,3.71,43,39,Highway,Heavy,20,4,52,3.67,7,Oil Filter,24
MH67AB2140,Tata Prima,2015,2023-05-15,2021-11-29,299243,4482,320,73,3.71,65,22,Highway,Heavy,40,16,10,3.11,19,Fuel Pump,102
MH65AB5568,BharatBenz 2823R,2011,2024-09-16,2021-04-12,648506,16290,172,82,3.71,67,56,Highway,Medium,30,6,53,5.67,17,Air Filter,26
MH20AB7553,BharatBenz 2823R,2016,2023-05-13,2021-12-25,246416,12705,193,94,3.71,22,34,Highway,Light,-1,9,66,2.75,9,Coolant,52
MH32AB6739,Ashok Leyland 3718,2021,2022-11-14,2021-06-23,606718,24838,306,82,3.71,21,70,Mixed,Heavy,27,15,18,2.83,11,Coolant,86
MH13AB2039,BharatBenz 2823R,2011,2024-01-16,2021-08-16,73091,13248,193,87,3.71,43,67,Mixed,Light,-5,5,14,3.69,5,Coolant,20
MH62AB6499,Ashok Leyland 3718,2015,2022-04-03,2021-04-15,831413,21597,470,128,3.71,75,27,Mixed,Light,0,8,88,4.56,2,Oil Filter,9
MH73AB8251,Tata Prima,2010,2024-11-22,2021-04-05,598277,3592,308,93,3.71,58,32,City,Heavy,31,8,18,4.13,15,None,69
MH52AB9323,Mahindra Blazo X,2012,2022-03-30,2021-06-20,125451,23192,485,71,3.71,98,67,Highway,Medium,-4,19,54,2.68,12,Coolant,87
MH43AB1465,Mahindra Blazo X,2011,2024-10-23,2021-11-22,68990,24362,96,117,3.71,80,22,Mixed,Light,-1,15,86,6.33,10,Brake Pads,78
MH77AB9388,Mahindra Blazo X,2016,2023-10-04,2021-07-10,402414,25360,400,102,3.71,39,84,Highway,Medium,20,9,33,6.31,10,Fuel Pump,25
MH81AB1041,BharatBenz 2823R,2023,2024-05-01,2021-09-11,300541,14471,62,127,3.71,15,92,Highway,Heavy,35,13,83,3.62,11,None,65
MH32AB6914,Tata Prima,2013,2024-10-21,2021-11-19,872513,15116,425,88,3.71,65,50,City,Light,41,11,51,5.43,10,Air Filter,81
MH50AB8635,BharatBenz 2823R,2017,2024-11-27,2021-08-17,716393,5433,257,78,3.71,48,45,City,Medium,7,15,31,4.81,7,Fuel Pump,59
MH86AB3850,BharatBenz 2823R,2015,2022-12-08,2021-06-24,420416,5426,360,97,3.71,72,75,Mixed,Medium,6,10,69,3.45,14,Brake Pads,28
MH80AB6972,Tata Prima,2021,2022-11-07,2021-11-16,852673,26263,284,104,3.71,29,53,Mixed,Light,-1,7,95,3.55,13,Brake Pads,27
MH49AB2383,Tata Prima,2019,2022-07-04,2021-08-14,174932,4469,198,126,3.71,52,28,City,Medium,-4,6,46,4.46,5,None,91
MH44AB9364,Tata Prima,2013,2023-08-12,2021-07-11,318083,36233,371,108,3.71,36,81,City,Medium,-2,2,48,4.18,19,Fuel Pump,15
MH44AB6824,Tata Prima,2014,2022-02-19,2021-07-21,163000,4819,487,79,3.71,88,32,Highway,Heavy,21,2,93,3.66,10,Oil Filter,51
MH93AB1036,Mahindra Blazo X,2022,2022-01-03,2021-03-12,752922,20823,204,70,3.71,99,88,Highway,Heavy,44,18,83,5.73,8,Brake Pads,6
MH74AB6741,Eicher Pro 6035,2022,2024-01-28,2021-06-29,609351,16928,215,111,3.71,8,60,Mixed,Medium,4,12,83,4.43,18,Coolant,74
MH49AB7562,Eicher Pro 6035,2018,2022-03-18,2021-07-06,543216,35078,139,90,3.71,42,96,Mixed,Medium,7,13,99,5.12,1,Air Filter,57
MH71AB9523,Tata Prima,2016,2022-11-26,2021-09-20,782081,21450,235,78,3.71,67,20,City,Light,38,4,98,3.26,5,Air Filter,15
MH80AB7199,Eicher Pro 6035,2019,2023-11-19,2021-08-30,732405,18793,367,129,3.71,51,66,Mixed,Heavy,-4,7,62,4.63,11,Brake Pads,19
MH34AB1503,Eicher Pro 6035,2023,2023-03-07,2021-03-26,559850,6864,407,116,3.71,5,23,Highway,Light,20,12,37,3.77,11,Coolant,77
MH95AB2206,Tata Prima,2023,2023-08-26,2021-09-15,487985,35849,223,84,3.71,7,82,City,Medium,9,14,86,4.61,16,Fuel Pump,16
MH10AB9981,Eicher Pro 6035,2018,2023-07-28,2021-11-01,883550,1191,266,104,3.71,90,71,Highway,Light,40,12,24,5.62,10,Air Filter,40
MH61AB3510,BharatBenz 2823R,2016,2024-08-26,2021-11-26,134703,30562,444,126,3.71,66,29,City,Medium,4,9,69,5.58,15,Coolant,96
MH33AB1308,Ashok Leyland 3718,2021,2023-11-14,2021-10-11,545164,1431,313,74,3.71,68,47,City,Heavy,16,11,69,3.92,7,Coolant,27
MH54AB7718,Ashok Leyland 3718,2010,2022-07-23,2021-07-25,464841,32230,146,110,3.71,21,25,Highway,Heavy,34,3,15,5.28,15,Oil Filter,31
MH29AB9475,Tata Prima,2021,2023-06-25,2021-04-19,810084,14726,166,127,3.71,82,46,Mixed,Medium,19,15,61,6.27,16,Brake Pads,92
MH61AB1870,Mahindra Blazo X,2017,2022-05-30,2021-08-28,702845,14361,248,91,3.71,66,31,Mixed,Heavy,9,17,21,5.0,6,Coolant,18
MH25AB5554,Tata Prima,2013,2022-09-26,2021-07-28,339220,31801,369,110,3.71,39,81,Mixed,Medium,7,18,28,3.09,11,Fuel Pump,58
MH11AB6391,Mahindra Blazo X,2012,2022-07-08,2021-03-23,303317,23266,70,92,3.71,17,71,Mixed,Light,2,12,84,5.22,17,Air Filter,103
MH99AB8433,Ashok Leyland 3718,2023,2024-11-08,2021-09-22,245877,36674,249,76,3.71,39,67,Highway,Medium,15,3,11,2.92,15,Oil Filter,31
MH14AB4056,Tata Prima,2022,2023-08-25,2021-09-29,881037,18195,420,125,3.71,47,86,City,Light,15,6,64,5.99,16,Fuel Pump,25
MH33AB2779,BharatBenz 2823R,2016,2022-05-19,2021-10-08,396709,3621,496,92,3.71,6,65,Highway,Medium,16,17,24,4.57,2,Air Filter,53
MH25AB1764,Eicher Pro 6035,2021,2022-04-17,2021-05-22,531725,18757,390,113,3.71,60,93,Mixed,Heavy,40,17,73,4.04,4,Brake Pads,66
MH10AB3560,Mahindra Blazo X,2012,2024-07-16,2021-07-23,875553,28664,497,94,3.71,81,34,Mixed,Medium,27,3,78,2.73,19,Fuel Pump,81
MH41AB2349,Eicher Pro 6035,2017,2024-01-10,2021-05-12,867865,25991,297,96,3.71,55,90,Highway,Medium,39,17,24,4.02,6,Air Filter,76
MH82AB8669,Eicher Pro 6035,2015,2022-03-06,2021-08-03,617597,23665,325,110,3.71,58,55,City,Medium,21,6,52,6.11,18,Oil Filter,48
MH55AB4027,Tata Prima,2014,2023-02-03,2021-07-30,487470,4248,313,75,3.71,20,33,Highway,Heavy,34,9,83,2.58,11,Air Filter,112
MH29AB8036,Eicher Pro 6035,2013,2024-02-07,2021-05-29,408402,33545,107,124,3.71,22,97,Highway,Medium,44,15,26,4.4,9,Coolant,48
MH41AB1772,BharatBenz 2823R,2017,2023-11-13,2021-07-30,874837,27053,351,103,3.71,11,22,Highway,Heavy,16,11,33,6.22,3,Oil Filter,102
MH83AB3170,Eicher Pro 6035,2017,2022-05-25,2021-09-20,617815,30997,80,78,3.71,49,86,City,Medium,24,3,83,4.08,2,Fuel Pump,65
MH44AB4328,Tata Prima,2021,2022-08-23,2021-11-17,798778,31808,298,129,3.71,40,38,Highway,Light,3,4,39,4.21,18,None,46
MH83AB1405,BharatBenz 2823R,2010,2023-04-19,2021-11-12,189883,10874,142,118,3.71,45,95,Highway,Medium,39,19,76,4.81,15,Brake Pads,27
MH54AB9623,Ashok Leyland 3718,2018,2022-03-03,2021-08-03,667632,5175,314,102,3.71,98,73,Mixed,Light,29,3,60,4.35,18,Oil Filter,77
MH70AB8028,Eicher Pro 6035,2023,2024-01-07,2021-10-05,205344,1670,320,120,3.71,46,88,Highway,Heavy,12,10,69,3.17,19,Oil Filter,5
MH98AB4858,Tata Prima,2014,2023-06-16,2021-10-26,515226,12950,143,129,3.71,11,29,Mixed,Heavy,36,3,12,2.57,15,Oil Filter,40
MH67AB3727,Ashok Leyland 3718,2013,2023-08-14,2021-04-09,797852,11180,203,75,3.71,19,52,Mixed,Medium,-1,8,14,4.94,17,Air Filter,59
MH96AB9733,Ashok Leyland 3718,2015,2024-11-21,2021-09-21,621441,10568,443,106,3.71,64,32,Mixed,Heavy,21,8,37,6.18,18,Coolant,114
MH46AB1740,Mahindra Blazo X,2015,2022-01-06,2021-05-04,158042,35730,334,100,3.71,44,70,City,Medium,0,15,87,2.93,18,None,20
MH70AB6815,BharatBenz 2823R,2011,2024-06-27,2021-04-04,104110,26706,129,103,3.71,87,51,Mixed,Heavy,26,6,20,3.34,11,Brake Pads,93
MH44AB8415,Eicher Pro 6035,2017,2022-12-26,2021-12-07,195051,787,341,110,3.71,41,94,Highway,Light,2,9,81,3.98,18,Brake Pads,22
MH32AB5073,Tata Prima,2016,2023-10-22,2021-12-17,815419,22837,133,98,3.71,70,43,Highway,Heavy,33,19,81,5.73,3,Coolant,102
MH37AB8470,Mahindra Blazo X,2010,2023-12-18,2021-12-22,813461,21166,414,127,3.71,59,54,Mixed,Light,15,7,85,3.58,13,Air Filter,42
MH42AB7406,BharatBenz 2823R,2014,2023-09-12,2021-09-02,78328,1661,423,83,3.71,81,89,Mixed,Medium,12,15,24,6.03,14,Air Filter,71
MH55AB1620,Mahindra Blazo X,2021,2023-04-29,2021-06-07,687199,35631,86,105,3.71,99,59,Highway,Medium,8,19,92,2.72,4,Coolant,24
MH19AB8723,BharatBenz 2823R,2015,2022-07-10,2021-09-23,325011,25035,391,105,3.71,84,73,Mixed,Medium,9,18,57,6.26,18,Coolant,23
MH49AB7833,BharatBenz 2823R,2013,2023-05-12,2021-08-20,109234,33028,376,122,3.71,60,63,City,Light,36,10,55,4.74,5,Fuel Pump,17
MH40AB9164,Eicher Pro 6035,2011,2023-05-14,2021-03-27,862283,39251,456,84,3.71,48,81,Mixed,Medium,20,14,37,5.14,14,Air Filter,21
MH75AB2004,BharatBenz 2823R,2022,2023-05-04,2021-04-04,867711,17027,474,77,3.71,61,87,City,Medium,38,17,16,3.97,12,Oil Filter,82
MH28AB9975,Mahindra Blazo X,2023,2022-04-17,2021-04-08,822791,24353,281,95,3.71,10,52,City,Light,26,11,80,5.63,7,Brake Pads,34
MH69AB2488,BharatBenz 2823R,2013,2024-12-16,2021-11-18,277135,15258,142,105,3.71,96,96,City,Heavy,33,11,91,3.17,12,Air Filter,90
MH48AB7551,Eicher Pro 6035,2010,2022-01-07,2021-06-14,647690,744,385,117,3.71,36,75,Mixed,Medium,22,5,97,2.7,8,Coolant,47
MH77AB7156,Eicher Pro 6035,2016,2022-04-20,2021-10-19,851881,3678,151,90,3.71,78,55,City,Heavy,33,13,15,4.08,3,Oil Filter,52
MH41AB8702,Mahindra Blazo X,2011,2022-11-03,2021-05-12,388365,32331,461,97,3.71,22,73,City,Heavy,37,9,67,5.91,1,Fuel Pump,47
MH65AB4284,Ashok Leyland 3718,2022,2024-12-01,2021-11-25,579739,2676,481,73,3.71,72,38,Mixed,Medium,26,16,77,5.52,3,None,97
MH15AB7392,Ashok Leyland 3718,2011,2023-12-11,2021-07-24,137178,38270,215,85,3.71,77,62,City,Medium,7,16,64,4.57,11,Fuel Pump,118
MH79AB7643,BharatBenz 2823R,2018,2022-02-11,2021-10-01,286562,34154,208,91,3.71,11,31,Mixed,Light,9,9,76,4.79,18,Oil Filter,70
MH17AB6218,Tata Prima,2014,2022-08-20,2021-05-22,351014,27127,63,81,3.71,12,30,Highway,Light,12,9,58,3.02,7,Oil Filter,57
MH65AB2432,BharatBenz 2823R,2011,2024-07-28,2021-08-16,408710,25381,422,85,3.71,68,89,City,Medium,33,10,60,5.86,9,Coolant,76
MH53AB6293,Mahindra Blazo X,2020,2022-07-19,2021-03-25,435893,35922,274,120,3.71,11,31,Mixed,Heavy,0,18,68,5.65,4,None,82
MH90AB7417,Mahindra Blazo X,2018,2022-01-26,2021-04-25,173765,12484,122,109,3.71,45,60,Highway,Light,5,9,15,5.13,10,Coolant,38
MH44AB8253,Mahindra Blazo X,2018,2023-05-05,2021-12-11,437025,24276,298,107,3.71,44,44,City,Light,26,13,99,4.36,18,Brake Pads,81
MH68AB1824,Mahindra Blazo X,2010,2023-09-17,2021-09-02,178389,18255,140,111,3.71,7,22,City,Medium,34,16,60,6.36,16,None,78
MH46AB7209,Mahindra Blazo X,2020,2023-03-03,2021-05-14,763987,7635,265,106,3.71,21,22,Mixed,Medium,14,5,47,6.02,12,None,76
MH22AB9987,Eicher Pro 6035,2012,2023-10-13,2021-07-11,247227,820,139,98,3.71,70,47,Highway,Medium,27,7,20,5.08,19,Brake Pads,75
MH39AB3030,Ashok Leyland 3718,2013,2023-07-11,2021-10-14,542402,37922,78,87,3.71,83,42,Mixed,Medium,34,17,61,3.99,3,Fuel Pump,17
MH77AB7574,Mahindra Blazo X,2023,2023-10-13,2021-08-17,861804,29135,484,79,3.71,97,67,City,Light,2,6,29,4.97,8,Oil Filter,94
MH40AB5231,Tata Prima,2016,2023-09-26,2021-11-27,840074,22184,354,111,3.71,56,86,City,Light,29,14,19,4.8,19,Fuel Pump,60
MH37AB5415,Tata Prima,2019,2022-10-21,2021-10-24,310220,23738,476,108,3.71,26,61,City,Light,-1,16,35,4.08,9,Coolant,63
MH59AB2184,Tata Prima,2013,2022-06-17,2021-11-11,471217,22389,269,87,3.71,8,59,City,Heavy,29,18,57,3.73,19,Air Filter,36
MH62AB8225,Tata Prima,2011,2024-07-03,2021-08-19,346208,30813,377,70,3.71,10,25,Highway,Light,41,6,23,4.13,17,Coolant,87
MH47AB7739,Eicher Pro 6035,2016,2022-10-31,2021-03-26,800186,33035,264,108,3.71,42,39,Highway,Light,8,8,68,4.8,13,Air Filter,83
MH72AB6875,Tata Prima,2015,2024-10-02,2021-05-05,850554,11270,270,90,3.71,30,30,Mixed,Medium,15,4,21,4.21,2,Oil Filter,58
MH77AB2317,Mahindra Blazo X,2012,2023-06-21,2021-05-20,118431,39821,438,70,3.71,15,46,Mixed,Light,41,14,32,3.55,4,Oil Filter,6
MH77AB4563,BharatBenz 2823R,2015,2023-07-13,2021-10-09,105745,20926,91,84,3.71,94,40,Mixed,Light,18,15,94,5.54,11,None,41
MH73AB4741,Tata Prima,2020,2023-09-15,2021-05-03,100081,7998,184,73,3.71,21,32,City,Light,11,17,81,4.63,2,Oil Filter,87
MH73AB4532,Eicher Pro 6035,2015,2024-08-08,2021-08-21,266204,39904,91,129,3.71,92,54,Mixed,Medium,12,14,48,2.77,4,Brake Pads,101
MH28AB4435,Eicher Pro 6035,2021,2022-07-10,2021-06-07,451415,16895,213,89,3.71,96,66,Highway,Light,28,3,18,3.97,4,Brake Pads,107
MH60AB2713,Tata Prima,2014,2025-01-01,2021-11-16,650541,3037,410,79,3.71,35,47,Mixed,Light,6,15,97,6.04,1,Air Filter,118
MH34AB7839,BharatBenz 2823R,2013,2023-06-22,2021-04-27,348335,19726,332,92,3.71,81,40,Mixed,Heavy,10,8,34,5.52,11,Fuel Pump,37
MH50AB3612,Tata Prima,2019,2022-03-12,2021-07-06,846643,15716,107,110,3.71,39,37,Highway,Heavy,-2,6,26,3.79,2,None,5
MH21AB1879,Eicher Pro 6035,2021,2023-12-08,2021-09-29,161086,19113,351,103,3.71,20,50,Highway,Heavy,19,15,51,6.25,19,Fuel Pump,107
MH68AB9774,Ashok Leyland 3718,2010,2023-04-26,2021-04-24,506285,3509,371,129,3.71,83,79,City,Heavy,28,10,38,2.81,8,Air Filter,32
MH29AB5180,Mahindra Blazo X,2019,2022-12-17,2021-10-09,464758,24868,74,115,3.71,22,56,Highway,Medium,22,11,69,6.34,4,Brake Pads,21
MH53AB7591,Eicher Pro 6035,2015,2022-12-24,2021-05-13,474528,29827,122,117,3.71,66,40,Highway,Heavy,40,8,76,3.48,16,Coolant,61
