record_id,truck_id,truck_number_plate,vehicle_model,year_bought,service_date,last_service_date,total_km_run,km_after_last_service,avg_daily_km_est,engine_temperature_c,vibrations_level,oil_life_percent,battery_health_percent,route_type,load_profile,ambient_temp_c,service_type,parts_changed_last_service,parts_in_stock_status,technician_id,technician_experience_years,current_queue_length,shift_hours_remaining,brake_pad_thickness_mm,tyre_health_percent,fuel_efficiency_kmpl,approx_past_services,days_until_next_service
12,T0171,PN36EZ7238,Mahindra Blazo X 35,2017,2025-06-11,2025-05-11,460048,11062,348.8,84.8,2.35,61.3,69.2,City,Heavy,50.3,Engine Check,Clutch Plate,No,M004,6,6,2.8,14.9,63.3,2.84,13,34.2
13,T0087,WL69BU2315,Scania P410,2017,2023-07-25,2023-06-29,492751,8064,299.8,88.2,5.28,69.7,57.1,City,Light,33.8,Routine Service,"Alternator, Brake Pads, Clutch Plate, Battery",No,M009,6,2,6.2,15.1,72.6,3.74,8,40.4
14,T0020,KH29LW5098,Scania P410,2018,2024-07-31,2024-06-12,410859,13676,274.5,78.5,4.82,43.6,72.2,Mixed,Medium,24.6,Engine Check,"Brake Pads, Engine Oil, Battery",Yes,M001,7,1,2.8,11.4,48.1,2.37,11,44.6
15,T0116,EQ62RM4271,Mahindra Blazo X 35,2020,2024-08-10,2024-05-26,276728,16453,216.3,80.9,2.83,33.5,67.2,City,Light,45.0,Brake Service,"Coolant, Oil Filter, Engine Oil, Battery",No,M007,15,5,3.3,12.8,50.6,3.6,9,21.4
16,T0234,AG55PO4375,Mahindra Blazo X 35,2023,2024-09-06,2024-06-08,119285,21524,238.9,89.1,5.5,10.2,83.5,Mixed,Heavy,27.6,Engine Check,"Air Filter, Clutch Plate, Brake Pads, Alternator",Yes,M022,3,11,6.2,9.4,40.3,2.4,2,43.1
17,T0207,OU35JG5409,Volvo FM 400,2018,2022-10-02,2022-09-11,396767,5065,236.6,82.3,3.72,82.6,79.7,Highway,Heavy,31.1,Engine Check,"Engine Oil, Coolant",Partial,M009,5,5,6.1,16.5,85.4,2.38,6,31.2
18,T0064,ZN21FF1052,Tata LPT 3718,2015,2025-03-19,2025-02-11,610486,10618,292.9,89.8,3.0,58.2,60.0,City,Heavy,38.8,Routine Service,Engine Oil,Partial,M017,8,4,5.8,15.6,58.3,2.9,20,39.2
19,T0011,AS65GQ1449,Volvo FM 400,2016,2023-06-20,2023-04-24,524483,20846,364.1,86.6,4.86,18.9,57.3,City,Medium,38.0,Engine Check,Coolant,No,M025,13,12,2.5,10.2,27.2,3.12,12,42.4
20,T0106,UW54ZB4464,Mahindra Blazo X 35,2015,2023-06-15,2023-05-05,581426,13912,338.6,78.4,4.14,43.4,59.5,City,Medium,32.5,Full Inspection,"Air Filter, Brake Pads, Engine Oil",Partial,M007,13,8,4.8,16.7,52.2,1.89,12,35.5
21,T0061,CS47RQ4702,Tata LPT 3718,2016,2023-10-04,2023-09-10,542707,8249,336.0,93.6,2.46,71.0,66.2,Highway,Medium,18.7,Engine Check,"Coolant, Alternator",Partial,M013,4,8,3.2,14.8,77.9,3.8,15,45.4
22,T0184,KM99YW0519,Mahindra Blazo X 35,2021,2023-10-12,2023-09-07,227726,9450,265.7,101.7,4.89,66.2,81.1,City,Light,38.1,Routine Service,"Brake Pads, Battery, Clutch Plate, Air Filter",Yes,M003,13,4,4.5,15.0,69.2,3.03,3,29.4
23,T0007,ZQ56VU2032,Mahindra Blazo X 35,2016,2025-01-25,2025-01-01,549207,5224,216.8,95.9,2.98,80.1,65.8,Highway,Heavy,34.4,Routine Service,"Oil Filter, Alternator",Partial,M032,5,12,1.6,18.6,79.5,2.47,18,25.1
24,T0052,FI73TV2005,Tata LPT 3718,2018,2023-10-28,2023-10-10,432864,5446,298.5,83.7,3.48,76.8,70.6,City,Medium,30.9,Brake Service,"Engine Oil, Clutch Plate, Oil Filter, Alternator",No,M017,1,2,5.1,16.0,83.4,3.48,11,38.9
25,T0161,YE67PV5800,Ashok Leyland U-3718,2016,2025-06-17,2025-02-22,541044,24845,214.8,92.9,4.07,5.0,74.4,Highway,Light,32.0,Electrical Check,"Air Filter, Clutch Plate",No,M001,14,14,4.2,12.1,10.0,4.77,14,54.6
26,T0319,NQ10JP1853,Tata LPT 3718,2016,2024-12-07,2024-09-25,508141,15840,215.5,80.8,3.91,46.0,67.8,City,Medium,32.1,Electrical Check,Alternator,No,M012,12,12,1.9,16.1,38.3,1.99,13,29.1
27,T0140,LA02VO7512,Ashok Leyland U-3718,2022,2023-03-02,2023-01-29,185109,11288,349.9,84.9,4.88,53.0,77.5,City,Heavy,35.5,Routine Service,Air Filter,Partial,M011,9,2,1.9,14.9,58.6,4.14,3,34.4
28,T0082,LI16OG7077,Volvo FM 400,2021,2023-03-24,2023-02-22,219739,7510,250.3,79.9,2.45,66.6,79.7,Mixed,Medium,32.5,Routine Service,"Air Filter, Coolant, Brake Pads, Clutch Plate",Partial,M037,2,11,2.9,15.5,75.2,2.9,5,42.5
29,T0067,OH91TP7254,Ashok Leyland U-3718,2022,2022-08-06,2022-07-03,171551,12251,356.9,105.3,4.88,53.6,82.2,Highway,Medium,34.0,Brake Service,Oil Filter,No,M029,2,5,5.3,15.6,65.8,4.64,1,40.4
30,T0007,ZQ56VU2032,Mahindra Blazo X 35,2023,2022-10-08,2022-08-18,123301,18348,359.3,69.9,4.95,25.9,84.6,Mixed,Heavy,27.6,Full Inspection,"Battery, Coolant",Partial,M037,2,12,2.5,8.2,37.9,3.44,1,49.9
31,T0049,JA37WY4756,Ashok Leyland U-3718,2018,2023-05-29,2023-04-27,428403,12056,374.9,77.7,4.06,51.9,62.2,City,Medium,37.5,Engine Check,"Engine Oil, Clutch Plate",Partial,M025,5,4,3.4,13.5,59.0,3.15,11,20.9
32,T0259,DU71ZD5064,Ashok Leyland U-3718,2022,2025-02-10,2025-01-25,161722,5030,296.2,75.7,3.65,89.7,79.1,Highway,Light,24.7,Full Inspection,"Brake Pads, Air Filter, Alternator",Yes,M032,1,9,7.1,16.7,80.0,2.96,5,53.2
33,T0115,TF43JS7500,Scania P410,2021,2023-03-21,2023-03-02,266710,4371,229.5,87.0,3.98,78.6,80.4,City,Light,38.3,Electrical Check,"Clutch Plate, Alternator, Coolant, Brake Pads",Yes,M006,12,12,7.1,14.2,87.7,2.34,4,35.0
34,T0229,GJ83CO5565,Tata LPT 3718,2016,2022-12-23,2022-11-23,541128,8130,268.6,78.0,0.89,65.5,61.5,City,Heavy,45.9,Routine Service,Alternator,No,M002,4,14,6.2,19.5,72.2,3.77,13,14.4
35,T0286,AR12EH8062,Scania P410,2015,2023-09-04,2023-08-09,599831,10267,386.7,71.9,3.25,47.5,64.0,Highway,Heavy,30.7,Brake Service,"Brake Pads, Battery, Alternator",No,M040,15,5,7.8,18.2,61.4,2.75,14,45.2
36,T0187,VN06ED3222,Volvo FM 400,2018,2022-12-25,2022-10-24,406354,19197,306.0,90.1,4.68,27.0,69.1,City,Medium,30.6,Engine Check,"Battery, Clutch Plate, Brake Pads, Engine Oil",Yes,M036,15,3,3.2,8.1,37.2,4.07,6,60.4
37,T0002,FN01QO2580,Tata LPT 3718,2020,2023-06-12,2023-03-12,335848,20474,221.3,80.2,4.04,21.3,78.4,Mixed,Medium,29.3,Engine Check,"Oil Filter, Engine Oil, Clutch Plate",No,M036,11,8,2.4,12.5,25.7,3.07,7,48.3
38,T0210,VZ64EU1749,Volvo FM 400,2019,2023-01-09,2022-11-26,351393,16942,381.6,79.6,4.48,23.7,69.5,Mixed,Light,39.5,Electrical Check,Alternator,Yes,M013,8,13,7.3,13.8,44.9,5.05,7,25.5
39,T0098,FB89HK1934,Mahindra Blazo X 35,2020,2023-11-26,2023-10-28,265664,10321,346.1,96.5,2.44,61.3,74.9,Highway,Medium,35.3,Full Inspection,Clutch Plate,No,M003,14,6,5.0,16.5,70.5,3.7,6,44.3
40,T0259,DU71ZD5064,BharatBenz 3123R,2022,2023-03-27,2023-02-17,181305,11334,291.4,77.4,3.57,67.2,75.9,Highway,Heavy,44.9,Engine Check,"Clutch Plate, Coolant, Oil Filter, Alternator",Yes,M004,4,11,6.4,14.3,61.2,2.71,3,48.9
41,T0054,DR52ST1671,Ashok Leyland U-3718,2024,2022-08-15,2022-06-29,42333,12319,257.6,79.6,4.41,51.8,91.3,Mixed,Medium,25.3,Electrical Check,"Alternator, Coolant, Battery, Oil Filter",No,M033,11,11,1.7,12.7,66.0,4.11,1,39.1
42,T0176,IR53EX3377,Tata LPT 3718,2022,2024-12-08,2024-10-29,172898,9851,245.5,92.6,1.6,67.7,77.0,Highway,Light,33.3,Engine Check,"Battery, Clutch Plate, Alternator",Partial,M027,9,4,5.2,14.3,62.4,2.84,4,44.9
43,T0103,FF83DX0811,BharatBenz 3123R,2024,2022-09-29,2022-06-29,53347,23080,249.6,85.7,2.07,9.1,83.4,Mixed,Medium,34.5,Brake Service,"Air Filter, Coolant",Partial,M023,10,11,2.5,11.2,24.3,3.21,1,50.7
44,T0060,WE27IW7209,Tata LPT 3718,2023,2024-12-11,2024-10-31,104096,11740,285.4,76.1,2.82,58.7,95.3,City,Heavy,32.1,Routine Service,"Coolant, Alternator, Brake Pads, Engine Oil",Partial,M037,13,13,6.9,10.8,57.5,3.29,3,63.1
45,T0013,TO75AI0988,Ashok Leyland U-3718,2017,2024-01-03,2023-11-16,474652,10355,215.1,86.9,2.51,63.2,66.3,Highway,Heavy,34.8,Brake Service,"Coolant, Alternator",Yes,M004,1,6,7.9,17.0,68.9,1.5,13,33.0
46,T0129,BC62SR9835,BharatBenz 3123R,2015,2024-06-24,2024-05-11,614441,15247,344.2,86.4,5.0,41.1,58.6,Mixed,Medium,24.7,Routine Service,Battery,No,M014,7,1,1.1,9.6,41.2,4.44,14,39.3
47,T0316,ZL82KQ1287,Mahindra Blazo X 35,2023,2024-05-11,2024-03-13,96650,16731,281.9,89.8,1.0,41.6,85.1,Highway,Heavy,29.5,Routine Service,"Brake Pads, Coolant, Battery, Air Filter",Partial,M036,6,11,2.0,12.3,35.4,3.57,2,37.3
48,T0196,JR65QJ1557,Ashok Leyland U-3718,2021,2024-09-09,2024-08-02,272328,8673,227.9,90.4,1.95,65.8,69.9,Mixed,Medium,32.8,Brake Service,Engine Oil,Partial,M036,1,4,5.6,14.2,76.7,3.57,6,50.2
49,T0104,GE60AU2310,Scania P410,2022,2023-07-03,2023-04-26,152386,14416,209.4,74.8,4.12,38.7,81.9,Highway,Heavy,26.2,Engine Check,"Brake Pads, Air Filter",No,M024,10,12,3.7,11.3,47.7,1.85,3,36.9
50,T0039,SH34KH1496,BharatBenz 3123R,2017,2023-07-05,2023-05-29,481429,7728,206.2,86.4,4.23,61.5,66.0,Mixed,Heavy,26.7,Engine Check,"Engine Oil, Brake Pads, Air Filter, Coolant",No,M008,13,10,3.3,14.7,78.6,2.97,12,41.3
51,T0083,VK68ZM0558,Scania P410,2019,2024-03-11,2024-01-11,370616,20587,338.9,80.5,4.25,9.8,68.4,Highway,Medium,28.8,Full Inspection,"Engine Oil, Oil Filter",No,M030,11,0,2.0,11.0,40.0,3.63,10,50.7
52,T0027,WW31VS6960,Mahindra Blazo X 35,2024,2023-01-29,2022-11-04,79294,21682,249.9,93.5,1.67,13.0,91.1,Mixed,Medium,30.7,Full Inspection,"Oil Filter, Alternator, Battery",No,M032,14,14,5.9,11.7,14.1,3.05,1,38.1
53,T0113,VZ86QA9821,BharatBenz 3123R,2023,2022-12-19,2022-12-08,134074,3814,319.3,80.9,2.98,83.2,85.1,Highway,Heavy,27.6,Brake Service,"Alternator, Engine Oil, Air Filter, Oil Filter",Yes,M011,8,9,6.1,16.4,87.1,2.49,1,33.6
54,T0170,YT15NB1344,Tata LPT 3718,2019,2022-11-03,2022-10-25,339758,3536,374.0,89.7,4.36,86.1,78.1,Highway,Heavy,26.6,Engine Check,"Engine Oil, Clutch Plate, Battery, Air Filter",No,M034,13,13,4.4,18.7,85.9,3.02,6,35.8
55,T0315,XA83HM6081,Scania P410,2018,2023-04-15,2023-03-05,413697,10801,257.4,82.7,2.3,53.0,68.8,Highway,Heavy,31.2,Brake Service,"Oil Filter, Brake Pads, Air Filter, Coolant",Partial,M021,1,8,5.8,16.4,57.6,2.65,8,58.1
56,T0013,TO75AI0988,Scania P410,2020,2022-07-11,2022-05-14,317506,14279,246.1,98.0,2.88,39.9,77.8,Mixed,Heavy,26.9,Full Inspection,"Engine Oil, Air Filter, Battery, Oil Filter",No,M029,6,4,1.4,12.5,47.5,1.98,5,24.5
57,T0043,KQ16MG6077,Volvo FM 400,2017,2024-10-28,2024-09-08,483043,16044,316.0,72.9,2.76,33.9,67.4,Mixed,Heavy,31.7,Engine Check,Brake Pads,Partial,M001,8,8,4.9,12.3,49.2,2.24,12,42.1
58,T0218,XO09IY5773,Volvo FM 400,2018,2025-04-03,2025-03-22,430421,4674,370.2,76.5,-0.68,77.0,75.0,Mixed,Heavy,31.7,Electrical Check,Air Filter,Yes,M028,8,7,5.7,13.2,82.1,3.12,15,46.2
59,T0170,YT15NB1344,Volvo FM 400,2016,2022-11-24,2022-10-01,552307,18344,336.0,89.1,5.16,29.9,62.2,Highway,Light,30.7,Electrical Check,"Oil Filter, Coolant, Clutch Plate",No,M012,11,4,6.2,12.6,30.7,3.22,10,37.0
60,T0199,CA57BT4228,Ashok Leyland U-3718,2021,2023-08-25,2023-07-30,240369,8715,326.8,85.7,5.29,66.2,79.3,City,Medium,33.0,Full Inspection,"Oil Filter, Coolant, Engine Oil, Alternator",Yes,M002,10,8,7.7,17.5,65.9,2.19,4,33.2
61,T0024,CE56GD8256,Mahindra Blazo X 35,2016,2023-05-17,2023-04-15,541994,10609,324.2,79.4,2.83,59.5,70.8,City,Heavy,34.7,Electrical Check,"Coolant, Clutch Plate, Engine Oil",No,M007,10,6,4.1,11.6,69.4,1.5,11,42.4
62,T0196,JR65QJ1557,Ashok Leyland U-3718,2015,2025-04-01,2025-03-09,616827,9011,390.2,95.5,3.23,58.2,59.4,City,Light,38.2,Full Inspection,"Air Filter, Battery",No,M035,11,3,3.8,16.8,73.2,3.36,20,28.9
63,T0152,OP69JT5536,Mahindra Blazo X 35,2017,2024-01-29,2023-12-06,485140,19960,369.0,88.7,4.27,26.8,67.0,City,Heavy,38.5,Routine Service,Air Filter,Yes,M024,14,14,4.4,10.0,41.4,4.06,13,22.7
64,T0003,US31YI0086,Scania P410,2024,2024-09-09,2024-07-07,50480,13014,202.3,93.0,3.29,44.5,99.4,City,Heavy,32.5,Brake Service,Coolant,Yes,M036,11,12,6.3,15.5,62.8,3.39,1,29.8
65,T0109,LF34KC4631,Ashok Leyland U-3718,2023,2024-01-19,2023-11-29,110857,20067,388.2,75.8,3.58,15.8,81.6,Highway,Light,35.4,Engine Check,"Coolant, Oil Filter",Yes,M012,7,1,7.8,12.6,24.5,2.81,3,40.3
66,T0291,UJ88EP8690,Volvo FM 400,2023,2025-02-14,2024-12-25,123158,16565,322.6,92.0,3.95,32.9,84.7,City,Heavy,37.6,Routine Service,Coolant,Partial,M036,4,13,5.3,16.7,43.6,2.66,4,45.4
67,T0129,BC62SR9835,Volvo FM 400,2018,2025-05-17,2025-03-19,416671,18946,318.7,75.3,3.14,35.0,61.2,Mixed,Heavy,35.3,Engine Check,"Battery, Oil Filter, Clutch Plate",Partial,M032,14,3,6.2,11.3,48.4,3.53,13,26.7
68,T0052,FI73TV2005,Tata LPT 3718,2024,2024-01-07,2023-12-11,57365,7852,283.7,78.9,4.08,66.5,92.7,Highway,Light,28.6,Full Inspection,"Clutch Plate, Air Filter, Coolant, Alternator",Partial,M021,5,3,6.1,15.4,73.4,4.61,1,71.9
69,T0079,VM75HV9253,Scania P410,2024,2024-04-23,2024-02-22,82645,20445,331.0,98.1,1.97,10.5,93.2,City,Medium,34.4,Engine Check,"Engine Oil, Air Filter",Yes,M028,1,2,6.4,14.5,28.2,2.12,1,25.3
70,T0224,AJ05IK2309,Tata LPT 3718,2020,2025-04-16,2025-03-10,286591,11910,318.6,83.9,5.67,56.8,76.3,Highway,Heavy,26.4,Full Inspection,"Clutch Plate, Brake Pads, Air Filter, Battery",No,M022,9,8,3.8,17.5,61.9,3.88,11,22.0
71,T0056,RQ17WP1973,BharatBenz 3123R,2024,2024-03-03,2023-12-17,51130,17726,229.2,69.4,6.13,22.8,80.5,Highway,Medium,22.4,Routine Service,"Coolant, Battery",Partial,M009,11,4,3.5,15.1,36.1,3.32,1,46.2
72,T0039,SH34KH1496,Volvo FM 400,2023,2023-11-17,2023-11-05,115175,4137,328.0,81.4,2.75,80.8,92.6,Mixed,Light,33.9,Full Inspection,"Brake Pads, Engine Oil, Coolant, Air Filter",Partial,M038,4,4,4.4,13.5,86.1,3.85,1,43.0
73,T0242,NK13EQ6695,Mahindra Blazo X 35,2017,2025-02-05,2025-01-16,469009,7143,346.2,89.0,2.95,68.5,65.5,City,Medium,34.9,Routine Service,"Air Filter, Brake Pads, Coolant",Partial,M015,2,0,6.8,16.4,79.9,3.55,16,47.6
74,T0204,GF69WC7126,Tata LPT 3718,2023,2023-07-01,2023-06-11,92235,6504,321.0,92.5,4.46,72.0,82.7,Highway,Heavy,27.5,Engine Check,"Air Filter, Brake Pads",Yes,M016,11,3,5.6,17.6,75.0,2.7,1,40.6
75,T0290,ZC62VX0928,Scania P410,2017,2024-08-09,2024-06-18,459892,16864,322.0,94.3,1.08,37.9,77.1,Mixed,Heavy,35.6,Routine Service,"Engine Oil, Oil Filter, Brake Pads",Yes,M031,1,2,2.6,12.7,40.0,2.31,12,33.5
76,T0136,JN98UD2685,Tata LPT 3718,2018,2022-11-28,2022-11-15,382508,3564,268.2,103.3,1.83,77.5,74.1,Highway,Heavy,42.2,Routine Service,"Alternator, Brake Pads, Clutch Plate",Yes,M014,15,10,6.4,18.0,86.0,3.4,9,26.3
77,T0166,PI74NM3095,Volvo FM 400,2023,2025-04-26,2025-04-09,117166,5231,297.2,89.4,2.46,74.2,88.9,Mixed,Medium,26.9,Brake Service,"Alternator, Battery",No,M017,3,7,3.2,19.3,84.1,3.74,4,34.5
78,T0301,WQ61BV2390,Mahindra Blazo X 35,2016,2023-06-16,2023-03-24,541580,18599,221.4,74.3,1.59,27.8,62.9,Mixed,Medium,32.8,Electrical Check,"Alternator, Air Filter",No,M025,7,5,4.9,12.1,26.8,2.9,15,55.3
79,T0247,HZ43VL9728,Scania P410,2015,2024-10-24,2024-09-22,607494,12042,368.0,74.6,3.17,55.6,63.7,Mixed,Light,26.5,Brake Service,"Brake Pads, Engine Oil",Partial,M029,2,7,6.8,17.6,66.4,2.92,16,43.1
80,T0109,LF34KC4631,BharatBenz 3123R,2017,2024-12-29,2024-11-24,489506,7768,219.1,88.3,3.55,68.2,70.8,Highway,Medium,41.1,Brake Service,Brake Pads,No,M039,10,8,3.7,15.2,69.1,5.01,12,46.8
81,T0059,GW80WG4630,Ashok Leyland U-3718,2022,2024-03-19,2023-12-01,194645,24807,225.7,93.8,3.86,5.0,72.9,City,Light,37.8,Routine Service,"Alternator, Engine Oil",Yes,M038,14,3,1.6,7.5,22.1,3.0,3,26.7
82,T0066,EB94VK0601,Scania P410,2024,2023-02-05,2022-11-30,63506,22361,330.2,72.6,1.11,12.4,93.1,Highway,Light,24.0,Engine Check,Air Filter,Yes,M033,7,11,5.6,13.9,26.5,3.79,1,38.7
83,T0133,VW03TD3187,BharatBenz 3123R,2023,2024-12-21,2024-10-15,105139,14788,219.3,90.0,5.4,39.3,90.6,City,Heavy,28.9,Engine Check,Coolant,Yes,M037,4,2,7.5,12.0,57.6,1.81,3,41.2
84,T0230,YM74HS8744,Scania P410,2022,2023-08-18,2023-08-03,182880,5809,365.2,82.5,4.35,81.5,77.1,City,Light,28.3,Full Inspection,"Air Filter, Alternator, Coolant, Oil Filter",Partial,M015,5,1,7.6,12.4,81.4,3.86,3,58.1
85,T0136,JN98UD2685,BharatBenz 3123R,2020,2022-09-28,2022-07-01,303769,21731,241.7,85.0,2.97,18.9,77.8,City,Heavy,38.0,Electrical Check,Brake Pads,No,M038,4,13,1.6,8.4,21.9,2.55,5,26.7
86,T0068,LW93QP7922,Volvo FM 400,2015,2023-01-12,2022-11-27,599624,16337,353.0,91.5,3.51,28.1,54.7,Highway,Heavy,28.5,Full Inspection,"Air Filter, Coolant, Engine Oil, Oil Filter",No,M033,5,1,1.5,12.7,35.4,3.17,14,13.3
87,T0308,OV84NW4840,Volvo FM 400,2023,2024-03-06,2024-02-12,124249,7752,323.9,78.7,2.34,71.1,80.6,Mixed,Light,29.7,Electrical Check,"Air Filter, Coolant, Alternator, Engine Oil",Partial,M006,11,1,1.4,14.3,78.1,3.21,3,38.0
88,T0268,IT71SS1957,Ashok Leyland U-3718,2020,2025-04-23,2025-02-18,302408,20907,323.0,85.0,4.64,8.9,62.2,Highway,Heavy,34.7,Full Inspection,"Brake Pads, Alternator, Clutch Plate, Battery",No,M034,15,4,7.2,8.3,34.0,2.64,10,39.0
89,T0295,YK13DE9796,Volvo FM 400,2021,2023-03-11,2023-01-04,239551,13589,203.8,83.6,4.54,41.7,78.5,Highway,Medium,24.4,Full Inspection,"Oil Filter, Air Filter",Partial,M031,1,12,1.1,11.5,53.8,3.18,3,54.9
90,T0210,VZ64EU1749,Tata LPT 3718,2018,2024-01-13,2023-11-09,413350,19221,295.2,77.9,1.85,15.0,76.4,Highway,Heavy,29.0,Engine Check,Engine Oil,No,M001,13,0,7.7,10.3,31.1,3.53,13,15.3
91,T0162,QO67KQ4629,Ashok Leyland U-3718,2020,2025-05-19,2025-03-29,298674,17018,331.9,92.4,3.83,35.9,71.8,Highway,Light,30.8,Full Inspection,"Coolant, Alternator, Clutch Plate",No,M028,8,12,2.1,12.5,39.2,4.71,7,39.6
92,T0188,TY37AQ6013,Scania P410,2019,2025-06-17,2025-05-18,339793,10693,354.9,77.2,2.24,59.9,77.9,Mixed,Medium,33.6,Electrical Check,"Clutch Plate, Oil Filter, Air Filter, Coolant",Partial,M014,10,5,1.6,16.3,60.3,3.22,8,33.7
93,T0130,DJ96KP9337,Tata LPT 3718,2024,2022-08-14,2022-07-01,74432,10088,225.0,84.6,2.29,59.3,91.2,City,Heavy,34.9,Electrical Check,"Oil Filter, Battery",Yes,M026,12,1,1.9,15.8,70.1,2.65,1,16.7
94,T0083,VK68ZM0558,Volvo FM 400,2018,2023-08-29,2023-06-22,416681,22512,329.2,82.8,4.53,7.0,68.2,Mixed,Medium,31.4,Routine Service,Air Filter,No,M022,13,13,4.2,11.5,16.7,3.71,9,27.7
95,T0047,CH23OD2670,BharatBenz 3123R,2022,2022-07-18,2022-05-27,178584,18971,363.6,84.3,3.54,16.7,83.5,Mixed,Medium,33.6,Brake Service,Coolant,Yes,M006,11,4,5.1,7.9,35.1,3.25,1,47.2
96,T0041,LF49UE0563,Scania P410,2015,2023-03-20,2023-03-08,597923,3205,249.3,75.2,3.25,82.9,57.1,Mixed,Medium,32.9,Electrical Check,"Engine Oil, Alternator, Oil Filter",Partial,M026,10,4,6.1,14.5,89.9,3.51,10,51.9
97,T0225,XZ51JD3404,Volvo FM 400,2018,2023-03-20,2023-02-24,398252,6275,261.1,76.1,2.52,64.4,71.9,Mixed,Heavy,31.7,Full Inspection,"Engine Oil, Alternator",Partial,M019,3,9,3.7,19.3,83.2,2.27,11,25.5
98,T0265,BB75QN4705,Mahindra Blazo X 35,2018,2025-03-21,2024-12-31,411722,17131,213.0,105.5,5.35,41.5,79.3,Mixed,Light,36.0,Routine Service,"Brake Pads, Battery, Engine Oil",Yes,M003,2,13,6.6,13.8,42.9,3.11,14,39.3
99,T0142,GD46GK6090,Ashok Leyland U-3718,2020,2023-02-18,2023-01-26,258396,6243,265.6,91.4,2.49,74.4,77.4,Mixed,Medium,23.2,Routine Service,"Engine Oil, Battery",Partial,M026,11,14,8.0,16.3,79.8,3.6,5,58.0
100,T0047,CH23OD2670,Scania P410,2019,2024-04-08,2024-02-19,354416,15581,317.6,93.7,2.91,32.1,72.7,Mixed,Heavy,21.2,Full Inspection,"Battery, Alternator, Air Filter",Yes,M038,13,2,7.6,11.9,40.3,1.68,11,30.7
101,T0100,KC44YA3498,Ashok Leyland U-3718,2021,2024-02-15,2024-02-02,223328,4773,345.6,84.6,0.05,80.1,82.5,Mixed,Light,33.9,Full Inspection,"Alternator, Coolant",Yes,M017,6,13,5.3,17.2,83.1,3.1,5,43.4
